Comment,Description,Designator,Footprint,LibRef,Quantity,JLCPCB Part #
,,,,,,
100nF,CAP CER 0.1UF 100V X7R 0603,"C1, C4, C9, C10, C11, C12, C16, C17, C18, C19, C20, CESD1",CAP 0603_1608,06031C104KAT2A,12,C14663
12 pF,"HIGH-Q MLCC (CF): 0603, 22 PF (1","C2, C3, C5, C6",CAP 0603_1608,C06CF220F-9ZN-X0T,4,C38523
4.7µF,CAP CER 4.7UF 10V Y5V 0603,C7,CAP 0603_1608,0603ZG475ZAT2A,1,C19666
10µF,CAP CER 10UF 10V X5R 0603,C8,CAP 0603_1608,0603ZD106KAT2A,1,C19702
22µF,CAP CER 22UF 10V X5R 0805,"C13, C14",CAP 0805_2012,0805ZD226MAT2A,2,C45783
1 µF,CAP SMT06031F16VDC,C15,CAP 0603_1608,NMC0603X7R105K16TRPF,1,C15849
2.2µF,CAP CER 0.1UF 100V X7R 0603,"C21, C22",CAP 0603_1608,06031C104KAT2A,2,C23630
Green,"0805 LED RED 570NM DOMINANT, 565",D1,LED 0805_2012 GREEN,QBLP631-YG1-2943,1,C2297
Red,"0805 LED RED 640NM DOMINANT, 660","D2, D3, D5",LED 0805_2012 RED,QBLP631-S3,3,C84256
Yellow,LED YELLOW DIFFUSED 0805 SMD,"D4, D6",LED 0805_2012 YELLOW,597-3222-407NF,2,C2296
Ferrite Bead,FERRITEBEAD SMD Z100MHZ=600OHM 7,FB1,FER 0603_1608,BLM18DN601SZ1D,1,C1002
,,,,,,
AMS1117-3.3,IC REG LINEAR 3.3V 1.2A SOT223,IC1,ST SOT-223,LDL1117S33R,1,C6186
,,,,,,
,,,,,,
500mA NPN BJT,TRANS NPN 60V 1A SOT23-3,Q1,DIODES SOT-23-3,DNLS160-7,1,C6749
100k Ohms,RES 100K OHM 0.1% 1/16W 0603,"R1, R4",RES 0603_1608,RNCS0603BKE10K0,2,C25803
10 kOhms,RES 10K OHM 0.1% 1/16W 0603,"R2, R3, R8, R12, R14",RES 0603_1608,RNCS0603BKE10K0,5,C25804
4.7k Ohms,RES 4.7K OHM 0.1% 1/16W 0603,"R5, R6",RES 0603_1608,RNCS0603BKE10K0,2,C23162
330 Ohms,RES 10K OHM 0.1% 1/16W 0603,"R7, R9, R17, R18, R21, R23",RES 0603_1608,RNCS0603BKE10K0,6,C23138
100 Ohms,"RES 100 OHM 0.1% 1/16W 0603, RES 10K OHM 0.1% 1/16W 0603","R10, R16",RES 0603_1608,RNCS0603BKE10K0,2,C22775
0 Ohms,RES 0 OHM JUMPER 0603,"R11, R22",RES 0603_1608,TLRZ1JTTD,2,C21189
5.1k Ohms,RES 10K OHM 0.1% 1/16W 0603,"R13, R15",RES 0603_1608,RNCS0603BKE10K0,2,C23186
33k Ohms,RES 10K OHM 0.1% 1/16W 0603,R19,RES 0603_1608,RNCS0603BKE10K0,1,C4216
1.5k Ohms,RES 10K OHM 0.1% 1/16W 0603,R20,RES 0603_1608,RNCS0603BKE10K0,1,C22843
STM32F103CBT6,128KB 2V~3.6V ARM-M3 20KB 72MHz FLASH 37 LQFP-48(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,STM1,STM32F103CBT6_FOOTPRINT,STM32F103CBT6,1,C8304
STM32F411CEU6,,STM2,STM32F411CEU6_Footprint,STM32F411CEU6,1,C60420
USBLC6-2SC6,"The USBLC6-2SC6 and USBLC6-2P6 are
monolithic application specific devices dedicated
to ESD protection of high speed interfaces, such
as USB 2.0, Ethernet links and video lines.
The very low line capacitance secures a high level
of signal integrity without compromising in
protecting sensitive chips against the most
stringently characterized ESD strikes.",UESD1,USBLC6-2SC6_Footprint,USBLC6-2,1,C7519
USB-TYPE-C 16P,,USB*1,USB TYPE-C 24P SMD,USB TYPE-C 24P SMD,1,C2927039
8 MHz,"[NoValue], CRYSTAL 16.0000MHZ 16PF SMD","Y1, Y2",EPSON TSX-3225,TSX-3225 16.0000MF10U-B0,2,C5181478
